"","site","date","time","temp","p_h","sp_cond","tds","redox","do_mg_l","do_sat","depth_m","chlorophyll_a_ug_l","salinity_psu","year","orthophosphate_as_p","phosphorus","calcium","chloride","magnesium","mercury","nitrogen_ammonia","nitrogen_kjeldahl_total","nitrogen_no2_plus_no3","sodium","total_suspended_solids","alkalinity_carbonate_co3","alkalinity_hydroxide_ca_co3","alkalinity_hydroxide_oh","alkalinity_total_as_ca_co3","alkalinity_bicarbonate_ca_co3","alkalinity_bicarbonate_hco3","alkalinity_carbonate_ca_co3","arsenic","lead","sulfate","chlorophyll_a","chlorophyll_a_non_pc","iron","flag"
"19","Arctic Lake E Surface",2024-04-29,"11:00",11.202,8.003,522,0.334,404,9.108,86.96,1.0574,48.248,0.26,24,0.005,0.082,49400,62.5,21100,NA,0.05,1.8,0.05,19300,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,2.5,NA,TRUE
"20","Arctic Lake E Surface",2024-05-13,"10:37",18.574,7.707,538.6,0.3448,337.5,8.35,92.98,1.0042,9.101,0.26,24,0.0048,0.053,49400,55.8,20400,NA,0.05,1.3,0.05,18100,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,20,NA,TRUE
"21","Arctic Lake E Surface",2024-05-22,"10:56",19.504,7.941,529.5,0.3389,340.5,7.832,89.3,0.8869,14.149,0.26,24,0.005,0.041,54100,54.8,21700,NA,0.05,1.3,0.05,20400,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,28.7,NA,TRUE
"22","Arctic Lake E Surface",2024-06-10,"10:11",21.702,8.144,515,0.3299,342.2,8.919,104.72,1.0892,9.843,0.25,24,0.0061,0.0455,53800,52.3,20800,NA,0.099,1.8,0.05,18200,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9,59.5,NA,TRUE
"23","Arctic Lake E Surface",2024-06-25,"12:06",25.697,8.105,499,0.3194,300.5,11.066,141.55,0.759,15.795,0.24,24,0.00515,0.115,49200,45.5,18200,NA,0.05,2.8,0.05,14500,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1,89.9,NA,TRUE
"24","Arctic Lake E Surface",2024-07-01,"10:57",22.57133333,8.112,506.6666667,0.323866667,325.7333333,8.742666667,104.1333333,1.011333333,NA,0.249333333,24,0.0072,0.081,55400,43.8,20200,0.005,0.05,2.1,0.05,16800,11.8,3.9,2.5,2.5,195,188,230,6.4,10,5,3.6,59.2,72.1,NA,TRUE
"25","Arctic Lake E Surface",2024-07-17,"10:11",24.89933333,8.208666667,486,0.311,301.4666667,6.982666667,87.00666667,0.963533333,NA,0.235333333,24,0.0059,0.1,45900,44.8,19000,NA,0.05,2.3,0.05,14500,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9,81.8,NA,TRUE
"26","Arctic Lake E Surface",2024-07-29,"10:16",26.52454545,8.540909091,475,0.304,348.7272727,8.073636364,104.6636364,1.064818182,NA,0.23,24,0.005,0.081,48300,44.9,19900,NA,0.05,2.2,0.05,16200,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2,89.3,NA,TRUE
"27","Arctic Lake E Surface",2024-08-12,"10:44",22.55928571,7.998571429,480.9285714,0.307928571,320,7.755,92.35714286,0.986285714,NA,0.23,24,0.0075,0.13,47000,45.5,19900,0.005,0.05,2.8,0.05,16300,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,111,145,NA,TRUE
"28","Arctic Lake E Surface",2024-08-22,"10:21",23.162,8.074,444.1,0.284,225.7,7.227,87.05,0.992,NA,0.21,24,0.0062,0.094,39900,45.9,19700,NA,0.05,2.5,0.05,16100,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,118,NA,TRUE
"29","Arctic Lake E Surface",2024-09-11,"10:40",21.55,7.769333333,456,0.292,229.2,4.249333333,50.01333333,1.063133333,NA,0.22,24,0.0081,NA,39100,44.3,19600,0.005,0.27,2.4,0.05,15600,12.3,2.5,2.5,2.5,160,160,195,2.5,10,NA,1.9,63.7,78,NA,TRUE
"30","Arctic Lake E Surface",2024-09-23,"10:50",21.419,7.713,460,0.295,309.9,3.47,40.59,0.9705,NA,0.22,24,0.0061,0.07,41100,49.1,20800,NA,0.43,2.3,0.05,15300,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,28.9,44.4,NA,TRUE
"31","Arctic Lake E Surface",2024-10-08,"11:18",16.586,7.885,469,0.3,360.8,8.378,88.83,0.487,NA,0.23,24,0.00485,0.0975,43200,50.3,21200,NA,0.57,2.9,0.5,17400,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,68.9,NA,TRUE
"32","Arctic Lake E Surface",2024-10-24,"10:45",13.599,8.184,464,0.297,292.5,10.451,104.11,1.0635,NA,0.23,24,NA,0.062,43600,51,21400,NA,0.3,2.3,0.05,17400,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,51.8,NA,TRUE
"33","Arctic Outflow",2024-04-29,"11:53",11.321,8.149,521,0.334,324.8,9.818,93.98,0.273,48.614,0.26,24,0.005,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"34","Arctic Outflow",2024-05-13,"11:19",18.601,7.721,537,0.344,239.9,5.345,59.56,0.1631,12.839,0.26,24,0.005,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"35","Arctic Outflow",2024-05-22,"11:34",19.721,7.932,534.1,0.342,290,7.659,87.7,0.1641,9.483,0.26,24,0.005,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"36","Arctic Outflow",2024-06-25,"12:25",25.92285714,8.305,500,0.32,212.5714286,13.40428571,172.1214286,0.126428571,16.94142857,0.24,24,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"37","Arctic Outflow",2024-07-01,"11:38",22.819,8.116,509,0.3256,262,8.685,103.99,0.0711,NA,0.25,24,0.01,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"38","Boiling Springs Down",2024-03-20,"10:08",10.32666667,7.142222222,607.6666667,0.389,162.2222222,2.393333333,21.83333333,0.232111111,0.023333333,0.3,24,0.02,0.016,68800,38.8,26600,NA,0.14,0.81,0.071,8580,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA,NA,NA,TRUE
"39","Boiling Springs Down",2024-06-11,"10:49",11.75,7.374285714,622.1428571,0.398214286,154,2.409285714,23.04285714,0.017857143,0.038571429,0.31,24,0.011,NA,72800,40.1,28100,NA,0.18,0.25,0.052,9330,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,TRUE
"40","Boiling Springs Down",2024-09-18,"10:42",11.907,7.261,624.2,0.3996,131.1,2.075,19.86,0.2749,NA,0.31,24,0.011,0.021,73300,41.4,28000,NA,0.05,0.35,0.065,9580,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,TRUE
"41","Boiling Springs Up 1",2024-03-20,"10:22",6.562,7.359,659.8,0.422,201.1,8.383,69.75,0.1999,0.324,0.33,24,0.018,0.013,82400,44,32700,NA,0.05,0.35,0.32,7110,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,TRUE
"42","Boiling Springs Up 1",2024-06-11,"10:20",11.766,7.326,434.9,0.2786,247.7,6.516,62.31,0.0452,0.6,0.21,24,0.021,NA,85700,45,33600,NA,0.11,0.25,0.35,7840,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,NA,NA,NA,TRUE
"43","Boiling Springs Up 1",2024-09-18,"10:15",12.658,7.243,716,0.458,205.9,6.344,61.79,0.0595,NA,0.35,24,0.029,NA,83900,46.9,32600,NA,0.05,0.26,0.45,7580,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,NA,NA,NA,TRUE
"44","Boiling Springs Up 2",2024-03-20,"10:16",8.835,7.2875,802,0.513,199.3333333,6.378333333,56.125,0.205,1.371666667,0.4,24,0.016,0.01,93400,61.9,37700,NA,0.05,0.25,0.065,13200,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,NA,NA,NA,TRUE
"45","Boiling Springs Up 2",2024-06-11,"10:36",11.65545455,7.286363636,816.2727273,0.522454545,257.7272727,5.327272727,50.86363636,0.052272727,0.192727273,0.41,24,0.016,NA,93700,60.4,37300,NA,0.05,0.25,0.15,13200,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,TRUE
"46","Boiling Springs Up 2",2024-09-18,"10:32",12.748,7.242,838,0.5361,252.5,4.936,48.17,0.0635,NA,0.42,24,0.016,NA,90400,63.2,35700,NA,0.05,0.24,0.042,13300,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,NA,NA,NA,TRUE
"47","Deans Lake",2024-06-19,"8:34",22.3825,8.0215,483.6,0.3094,339.45,5.7485,67.82,0.7648,9.527,0.231,24,0.017,0.037,29600,67.6,19500,NA,0.05,1.2,0.05,28400,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,12.7,15.5,NA,TRUE
"48","Deans Lake",2024-08-14,"10:00",23.81,9.072,456,0.292,341.1,14.053,170.96,0.4656,NA,0.22,24,0.0077,0.0275,26900,59.8,20900,NA,0.052,1,0.05,25700,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,TRUE
"49","Deans Lake",2024-10-14,"10:44",11.1215,8.2845,513,0.32805,322,9.746,90.4,0.5123,NA,0.25,24,0.005,0.013,29200,71.1,26400,NA,0.05,0.96,0.05,29700,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,3.2,3.5,NA,TRUE
"50","Howard Lake",2024-04-11,"8:57",11.84083333,8.5125,521.6666667,0.334,257.75,13.35,129.1416667,0.485333333,7.408333333,0.26,24,0.0087,0.029,40800,76.9,17100,0.005,0.05,0.7,0.05,29900,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,10.3,11.1,NA,TRUE
"51","Howard Lake",2024-04-22,"8:50",9.71875,8.72,442.625,0.28325,291.5,15.335,140.75,0.59125,3.5275,0.2175,24,0.00485,0.0255,32700,75.9,17600,NA,0.05,0.99,0.05,31200,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,7,7.2,NA,TRUE
"52","Howard Lake",2024-05-06,"10:10",16.67,10.16266667,394.0666667,0.252,254.0666667,17.34066667,185.48,0.569266667,11.31266667,0.19,24,0.005,0.022,20000,71.6,16400,NA,0.05,1.1,0.05,30200,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,4.2,4.4,NA,TRUE
"53","Howard Lake",2024-05-20,"10:06",20.0425,9.209,414.6,0.26525,352.85,6.617,76.13,0.43875,3.98,0.2,24,0.005,0.0455,24700,73.6,17200,NA,0.05,1.5,0.05,33900,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.8,3,NA,TRUE
"54","Howard Lake",2024-06-05,"9:49",21.716,7.604,481.4,0.308,337.9333333,6.725333333,80.58,0.589,20.11866667,0.23,24,0.005,0.04,35300,62.9,15600,NA,0.05,1.2,0.05,27100,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,TRUE
"55","Howard Lake",2024-06-17,"14:28",20.013,6.686,476.7,0.305,51.1,0.286,3.28,0.6885,18.43,0.23,24,0.005,0.0175,40600,64.1,15900,NA,0.052,0.98,0.05,28800,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,16.2,19.3,NA,TRUE
"56","Howard Lake",2024-06-24,"9:41",23.35818182,7.768181818,472.3636364,0.302363636,389.1818182,9.875454545,120.9090909,0.109090909,7.37,0.23,24,NA,0.038,38300,60.3,14300,NA,0.05,0.84,0.05,24700,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,38.7,46.2,NA,TRUE
"57","Howard Lake",2024-07-08,"8:35",23.28555556,7.502222222,466.5555556,0.298555556,381.7777778,5.908888889,72.12222222,0.551222222,NA,0.23,24,0.005,0.0195,39900,55.9,14500,0.005,NA,0.98,0.05,25000,1.9,2.5,2.5,2.5,140,140,170,2.5,10,3.3,3.6,7,8.8,NA,TRUE
"58","Howard Lake",2024-07-22,"8:43",23.748,7.138,482,0.309,397.2,1.181,14.48,0.6894,NA,0.23,24,0.005,0.03,42700,58.3,15400,NA,0.05,1.1,0.05,25300,4.2,2.5,2.5,2.5,148,148,181,2.5,NA,NA,0.6,12.1,15.2,NA,TRUE
"59","Howard Lake",2024-08-05,"9:19",24.74666667,7.224666667,451.8,0.289133333,335.2,1.775333333,22.14666667,0.133133333,NA,0.219333333,24,0.005,0.0088,43900,58,15700,NA,0.05,0.99,0.05,26000,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,TRUE
"60","Howard Lake",2024-08-19,"9:03",23.056,7.346,493.9333333,0.316,391.7333333,2.861333333,34.38666667,0.6098,NA,0.24,24,NA,0.024,47300,55,15800,NA,0.05,0.93,0.05,24000,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,7.9,9,NA,TRUE
"61","Howard Lake",2024-09-03,"9:47",20.91866667,7.3,515.9333333,0.33,378,3.794666667,43.76666667,0.596933333,NA,0.25,24,0.0061,0.0235,47100,58.4,16200,0.005,0.05,1.3,0.05,25500,2.4,2.5,2.5,2.5,173,173,211,2.5,10,4.5,0.6,12.8,14.5,334,TRUE
"62","Howard Lake",2024-09-16,"10:00",22.802,7.434,535,0.343,353.7,4.93,59.21,0.5549,NA,0.26,24,0.006,0.028,48700,58.7,17000,NA,0.05,1.1,0.05,25600,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,19.9,22.8,NA,TRUE
"63","Howard Lake",2024-09-26,"11:13",19.244,7.331333333,542,0.347,281.1333333,6.272,70.40666667,0.677866667,NA,0.26,24,0.0065,0.031,47800,64.2,16600,NA,0.05,1.1,0.05,26200,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,16.1,18.4,NA,TRUE
"64","Howard Lake",2024-10-21,"10:18",14.312,7.609,574,0.367,353.3,9.289,94.14,0.5375,NA,0.28,24,0.00665,0.062,56300,65.1,19000,NA,0.14,1.6,0.05,29100,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,25,30.1,NA,TRUE
"65","Mystic Lake Center",2024-04-15,"9:32",15.771,7.57,816.4,0.5226,347,8.311,86.92,0.8065,19.076,0.4,24,0.005,0.044,46500,149,24500,0.005,0.05,1.1,0.05,69000,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,23.2,NA,TRUE
"66","Mystic Lake Center",2024-04-29,"9:27",12.008,7.596,761.8,0.4877,392.4,7.483,73.03,0.5723,44.856,0.38,24,0.005,0.046,43500,150,22600,NA,0.05,1.2,0.05,61500,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,38.3,NA,TRUE
"67","Mystic Lake Center",2024-05-13,"9:06",19.202,8.498,748,0.479,366,11.199,126.66,1.036,36.379,0.37,24,0.005,0.051,38500,146,22100,NA,0.05,1.2,0.04,59300,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,24.9,NA,TRUE
